ticket_id,created_at,category,priority,channel,assigned_team,agent,current_stage,status,first_response_hours,waiting_hours,resolution_hours,queue_age_hours,sla_hours,sla_breach,customer_satisfaction
TKT-04926,2025-02-14 13:45:48.311165558,Account & Access,High,Phone,Tier 1,T1-Agent-13,Resolved,Resolved,1.32,10.16,15.05,10.16,24,False,4.24
TKT-04927,2025-02-14 13:58:50.270213510,Technical Issue,Low,Chat,Tier 2,T2-Agent-09,Resolved,Resolved,1.87,3.94,85.57,3.94,72,True,2.69
TKT-04928,2025-02-14 14:11:52.229261463,Billing,Medium,Chat,Tier 1,T1-Agent-06,Resolved,Resolved,4.12,1.34,4.79,1.34,48,False,4.14
TKT-04929,2025-02-14 14:24:54.188309415,Integration/API,Low,Chat,Tier 2,T2-Agent-05,Resolved,Resolved,0.95,64.02,134.32,64.02,72,True,1.4
TKT-04930,2025-02-14 14:37:56.147357367,Account & Access,Low,Chat,Tier 1,T1-Agent-11,Resolved,Resolved,3.38,10.62,12.2,10.62,72,False,4.95
TKT-04931,2025-02-14 14:50:58.106405320,Bug Report,Critical,Email,Tier 3,T3-Agent-01,Resolved,Resolved,1.59,14.74,57.52,14.74,8,True,3.71
TKT-04932,2025-02-14 15:04:00.065453272,Product Question,Medium,Chat,Tier 1,T1-Agent-14,Resolved,Resolved,2.74,1.76,4.33,1.76,48,False,5.0
TKT-04933,2025-02-14 15:17:02.024501225,Bug Report,Low,Chat,Tier 3,T3-Agent-01,Resolved,Resolved,4.21,44.49,100.73,44.49,72,True,2.07
TKT-04934,2025-02-14 15:30:03.983549177,Account & Access,High,Web Form,Tier 1,T1-Agent-03,Resolved,Resolved,2.83,0.86,17.76,0.86,24,False,4.37
TKT-04935,2025-02-14 15:43:05.942597129,Product Question,High,Web Form,Tier 1,T1-Agent-05,Resolved,Resolved,2.05,5.62,9.19,5.62,24,False,5.0
TKT-04936,2025-02-14 15:56:07.901645082,Technical Issue,High,Email,Tier 2,T2-Agent-07,Resolved,Resolved,7.29,7.22,35.62,7.22,24,True,3.67
TKT-04937,2025-02-14 16:09:09.860693034,Account & Access,Medium,Chat,Tier 1,T1-Agent-12,Resolved,Resolved,2.75,1.92,5.77,1.92,48,False,4.74
TKT-04938,2025-02-14 16:22:11.819740987,Integration/API,High,Chat,Tier 2,T2-Agent-02,Resolved,Resolved,28.96,39.55,69.01,39.55,24,True,2.56
TKT-04939,2025-02-14 16:35:13.778788939,Product Question,Medium,Chat,Tier 1,T1-Agent-05,Waiting for Agent,In Progress,2.39,1.63,4.02,13.34,48,False,4.32
TKT-04940,2025-02-14 16:48:15.737836891,Technical Issue,High,Phone,Tier 2,T2-Agent-08,Resolved,Resolved,25.37,31.18,85.84,31.18,24,True,2.52
TKT-04941,2025-02-14 17:01:17.696884844,Bug Report,Critical,Web Form,Tier 3,T3-Agent-02,Resolved,Resolved,8.21,28.77,56.74,28.77,8,True,2.19
TKT-04942,2025-02-14 17:14:19.655932796,Technical Issue,High,Email,Tier 2,T2-Agent-04,Resolved,Resolved,19.47,6.2,39.2,6.2,24,True,3.05
TKT-04943,2025-02-14 17:27:21.614980749,Product Question,Medium,Web Form,Tier 1,T1-Agent-07,Resolved,Resolved,0.46,2.51,8.21,2.51,48,False,4.74
TKT-04944,2025-02-14 17:40:23.574028701,Security,Low,Email,Tier 3,T3-Agent-04,In Progress,In Progress,1.59,38.8,79.46,96.39,72,True,2.87
TKT-04945,2025-02-14 17:53:25.533076653,Product Question,Medium,Email,Tier 1,T1-Agent-13,In Progress,In Progress,2.29,1.69,15.75,37.84,48,False,4.72
TKT-04946,2025-02-14 18:06:27.492124606,Bug Report,Medium,Email,Tier 3,T3-Agent-06,Resolved,Resolved,4.22,4.84,45.58,4.84,48,False,4.59
TKT-04947,2025-02-14 18:19:29.451172558,Product Question,Low,Chat,Tier 1,T1-Agent-13,Resolved,Resolved,1.84,2.64,3.99,2.64,72,False,4.52
TKT-04948,2025-02-14 18:32:31.410220511,Bug Report,High,Chat,Tier 3,T3-Agent-02,Resolved,Resolved,4.05,17.38,82.15,17.38,24,True,1.67
TKT-04949,2025-02-14 18:45:33.369268463,Integration/API,Critical,Chat,Tier 2,T2-Agent-04,Resolved,Resolved,19.31,21.27,73.55,21.27,8,True,3.58
TKT-04950,2025-02-14 18:58:35.328316415,Integration/API,Medium,Chat,Tier 2,T2-Agent-07,Resolved,Resolved,4.71,40.08,135.44,40.08,48,True,1.83
TKT-04951,2025-02-14 19:11:37.287364368,Technical Issue,Medium,Email,Tier 2,T2-Agent-04,Resolved,Resolved,8.9,4.3,58.04,4.3,48,True,3.69
TKT-04952,2025-02-14 19:24:39.246412320,Integration/API,High,Chat,Tier 2,T2-Agent-06,Resolved,Resolved,6.87,6.54,121.94,6.54,24,True,1.63
TKT-04953,2025-02-14 19:37:41.205460273,Technical Issue,Medium,Email,Tier 2,T2-Agent-04,Resolved,Resolved,8.44,31.83,67.21,31.83,48,True,2.93
TKT-04954,2025-02-14 19:50:43.164508225,Security,Critical,Chat,Tier 3,T3-Agent-04,Resolved,Resolved,7.51,5.92,34.77,5.92,8,True,2.67
TKT-04955,2025-02-14 20:03:45.123556177,Technical Issue,High,Chat,Tier 2,T2-Agent-07,Resolved,Resolved,3.57,148.16,235.35,148.16,24,True,1.0
TKT-04956,2025-02-14 20:16:47.082604130,Technical Issue,High,Email,Tier 2,T2-Agent-02,Resolved,Resolved,2.16,32.89,64.9,32.89,24,True,3.18
TKT-04957,2025-02-14 20:29:49.041652082,Bug Report,Medium,Chat,Tier 3,T3-Agent-06,Resolved,Resolved,7.84,37.77,81.87,37.77,48,True,2.55
TKT-04958,2025-02-14 20:42:51.000700035,Account & Access,Medium,Web Form,Tier 1,T1-Agent-02,Resolved,Resolved,4.61,2.03,6.87,2.03,48,False,4.53
TKT-04959,2025-02-14 20:55:52.959747987,Account & Access,Medium,Email,Tier 1,T1-Agent-07,Resolved,Resolved,1.25,1.93,11.14,1.93,48,False,5.0
TKT-04960,2025-02-14 21:08:54.918795939,Integration/API,Low,Web Form,Tier 2,T2-Agent-09,Resolved,Resolved,10.83,5.28,45.14,5.28,72,False,3.52
TKT-04961,2025-02-14 21:21:56.877843892,Technical Issue,Medium,Email,Tier 2,T2-Agent-01,Resolved,Resolved,6.49,28.4,85.58,28.4,48,True,2.88
TKT-04962,2025-02-14 21:34:58.836891844,Technical Issue,Medium,Web Form,Tier 3,T3-Agent-02,Resolved,Resolved,5.64,15.79,58.73,15.79,48,True,3.1
TKT-04963,2025-02-14 21:48:00.795939797,Billing,Medium,Email,Tier 1,T1-Agent-11,Resolved,Resolved,5.57,5.38,6.27,5.38,48,False,4.17
TKT-04964,2025-02-14 22:01:02.754987749,Account & Access,Medium,Phone,Tier 1,T1-Agent-11,Resolved,Resolved,5.07,1.58,22.24,1.58,48,False,4.97
TKT-04965,2025-02-14 22:14:04.714035701,Technical Issue,High,Email,Tier 2,T2-Agent-09,Resolved,Resolved,8.71,36.94,103.27,36.94,24,True,1.86
TKT-04966,2025-02-14 22:27:06.673083654,Technical Issue,High,Phone,Tier 3,T3-Agent-05,Resolved,Resolved,3.48,5.1,63.58,5.1,24,True,3.49
TKT-04967,2025-02-14 22:40:08.632131606,Account & Access,Low,Email,Tier 1,T1-Agent-09,Resolved,Resolved,0.85,0.76,1.84,0.76,72,False,4.52
TKT-04968,2025-02-14 22:53:10.591179559,Account & Access,High,Web Form,Tier 1,T1-Agent-03,Resolved,Resolved,3.34,5.18,8.32,5.18,24,False,4.36
TKT-04969,2025-02-14 23:06:12.550227511,Technical Issue,High,Email,Tier 2,T2-Agent-09,Resolved,Resolved,8.44,22.24,88.11,22.24,24,True,2.05
TKT-04970,2025-02-14 23:19:14.509275463,Product Question,Medium,Email,Tier 1,T1-Agent-07,Resolved,Resolved,0.45,0.97,2.2,0.97,48,False,5.0
TKT-04971,2025-02-14 23:32:16.468323416,Product Question,Medium,Email,Tier 1,T1-Agent-03,Resolved,Resolved,3.45,1.09,5.29,1.09,48,False,4.39
TKT-04972,2025-02-14 23:45:18.427371368,Technical Issue,Medium,Email,Tier 2,T2-Agent-02,Waiting for Agent,Open,0.99,88.06,124.09,92.0,48,True,1.69
TKT-04973,2025-02-14 23:58:20.386419321,Account & Access,High,Chat,Tier 1,T1-Agent-15,Resolved,Resolved,1.39,10.72,11.65,10.72,24,False,4.45
TKT-04974,2025-02-15 00:11:22.345467273,Feature Request,Medium,Chat,Tier 2,T2-Agent-02,Resolved,Resolved,3.0,14.0,29.03,14.0,48,False,4.32
TKT-04975,2025-02-15 00:24:24.304515225,Product Question,Medium,Chat,Tier 1,T1-Agent-03,Resolved,Resolved,0.5,0.58,10.03,0.58,48,False,4.55
TKT-04976,2025-02-15 00:37:26.263563178,Billing,High,Chat,Tier 1,T1-Agent-14,Resolved,Resolved,6.11,8.9,31.27,8.9,24,True,4.4
TKT-04977,2025-02-15 00:50:28.222611130,Billing,Medium,Email,Tier 1,T1-Agent-11,Resolved,Resolved,2.16,5.82,39.17,5.82,48,False,3.96
TKT-04978,2025-02-15 01:03:30.181659083,Technical Issue,Medium,Web Form,Tier 2,T2-Agent-07,Resolved,Resolved,4.96,15.61,43.34,15.61,48,False,3.98
TKT-04979,2025-02-15 01:16:32.140707035,Bug Report,High,Web Form,Tier 3,T3-Agent-01,Resolved,Resolved,5.56,44.0,116.67,44.0,24,True,2.04
TKT-04980,2025-02-15 01:29:34.099754987,Feature Request,High,Email,Tier 2,T2-Agent-04,Resolved,Resolved,5.47,6.03,23.64,6.03,24,False,4.71
TKT-04981,2025-02-15 01:42:36.058802940,Feature Request,Medium,Web Form,Tier 2,T2-Agent-08,Resolved,Resolved,0.62,45.98,140.18,45.98,48,True,1.54
TKT-04982,2025-02-15 01:55:38.017850892,Technical Issue,High,Email,Tier 2,T2-Agent-06,Resolved,Resolved,15.67,39.22,67.38,39.22,24,True,2.46
TKT-04983,2025-02-15 02:08:39.976898845,Account & Access,Medium,Chat,Tier 1,T1-Agent-01,Waiting for Agent,Open,1.17,1.18,6.5,12.64,48,False,4.81
TKT-04984,2025-02-15 02:21:41.935946797,Technical Issue,High,Web Form,Tier 2,T2-Agent-07,Resolved,Resolved,14.29,102.84,188.0,102.84,24,True,1.0
TKT-04985,2025-02-15 02:34:43.894994749,Account & Access,Critical,Web Form,Tier 1,T1-Agent-01,Resolved,Resolved,1.1,1.72,14.19,1.72,8,True,4.04
TKT-04986,2025-02-15 02:47:45.854042702,Account & Access,Medium,Chat,Tier 1,T1-Agent-01,Resolved,Resolved,2.88,11.93,16.1,11.93,48,False,4.31
TKT-04987,2025-02-15 03:00:47.813090654,Product Question,Medium,Chat,Tier 1,T1-Agent-04,Resolved,Resolved,0.14,1.54,4.56,1.54,48,False,4.91
TKT-04988,2025-02-15 03:13:49.772138606,Technical Issue,High,Chat,Tier 2,T2-Agent-04,Resolved,Resolved,5.89,40.7,93.23,40.7,24,True,2.45
TKT-04989,2025-02-15 03:26:51.731186559,Feature Request,Low,Chat,Tier 2,T2-Agent-06,Resolved,Resolved,16.03,18.33,27.45,18.33,72,False,4.26
TKT-04990,2025-02-15 03:39:53.690234511,Technical Issue,Low,Phone,Tier 2,T2-Agent-06,Resolved,Resolved,10.01,18.99,48.87,18.99,72,False,3.88
TKT-04991,2025-02-15 03:52:55.649282464,Technical Issue,Critical,Web Form,Tier 2,T2-Agent-09,Waiting for Agent,In Progress,3.14,23.65,46.57,41.42,8,True,3.08
TKT-04992,2025-02-15 04:05:57.608330416,Bug Report,High,Email,Tier 3,T3-Agent-03,Resolved,Resolved,6.41,20.9,50.39,20.9,24,True,3.46
TKT-04993,2025-02-15 04:18:59.567378368,Integration/API,Medium,Chat,Tier 2,T2-Agent-04,Resolved,Resolved,0.72,18.7,60.59,18.7,48,True,2.73
TKT-04994,2025-02-15 04:32:01.526426321,Account & Access,Low,Chat,Tier 1,T1-Agent-05,Resolved,Resolved,0.74,0.61,2.86,0.61,72,False,4.57
TKT-04995,2025-02-15 04:45:03.485474273,Product Question,Low,Web Form,Tier 3,T3-Agent-03,Resolved,Resolved,7.46,1.07,14.52,1.07,72,False,5.0
TKT-04996,2025-02-15 04:58:05.444522226,Technical Issue,Low,Email,Tier 2,T2-Agent-05,Waiting for Agent,In Progress,6.57,38.54,106.95,59.96,72,True,1.65
TKT-04997,2025-02-15 05:11:07.403570178,Technical Issue,Medium,Web Form,Tier 2,T2-Agent-03,Resolved,Resolved,5.72,4.37,102.2,4.37,48,True,2.16
TKT-04998,2025-02-15 05:24:09.362618130,Billing,Medium,Chat,Tier 1,T1-Agent-11,Resolved,Resolved,5.08,1.6,2.07,1.6,48,False,4.92
TKT-04999,2025-02-15 05:37:11.321666083,Account & Access,Low,Email,Tier 1,T1-Agent-08,Resolved,Resolved,0.84,3.48,7.83,3.48,72,False,4.93
TKT-05000,2025-02-15 05:50:13.280714035,Product Question,Medium,Email,Tier 3,T3-Agent-05,Resolved,Resolved,2.31,10.98,42.22,10.98,48,False,4.18
TKT-05001,2025-02-15 06:03:15.239761988,Technical Issue,Critical,Web Form,Tier 2,T2-Agent-01,Resolved,Resolved,5.69,30.03,76.72,30.03,8,True,3.48
TKT-05002,2025-02-15 06:16:17.198809940,Integration/API,Critical,Web Form,Tier 2,T2-Agent-06,Resolved,Resolved,5.23,72.92,137.18,72.92,8,True,2.11
TKT-05003,2025-02-15 06:29:19.157857892,Bug Report,Critical,Email,Tier 3,T3-Agent-06,Resolved,Resolved,5.51,15.95,31.81,15.95,8,True,4.1
TKT-05004,2025-02-15 06:42:21.116905845,Technical Issue,Medium,Email,Tier 2,T2-Agent-08,Resolved,Resolved,13.15,20.66,55.6,20.66,48,True,3.45
TKT-05005,2025-02-15 06:55:23.075953797,Technical Issue,High,Email,Tier 2,T2-Agent-04,Resolved,Resolved,16.98,64.05,101.7,64.05,24,True,1.54
TKT-05006,2025-02-15 07:08:25.035001750,Billing,Medium,Chat,Tier 1,T1-Agent-03,Resolved,Resolved,0.53,2.51,17.16,2.51,48,False,4.48
TKT-05007,2025-02-15 07:21:26.994049702,Bug Report,Medium,Chat,Tier 3,T3-Agent-06,Resolved,Resolved,13.31,7.1,52.96,7.1,48,True,3.44
TKT-05008,2025-02-15 07:34:28.953097654,Integration/API,High,Email,Tier 2,T2-Agent-02,Resolved,Resolved,16.07,1.55,97.78,1.55,24,True,2.22
TKT-05009,2025-02-15 07:47:30.912145607,Integration/API,High,Web Form,Tier 2,T2-Agent-05,Resolved,Resolved,9.49,23.19,70.62,23.19,24,True,2.62
TKT-05010,2025-02-15 08:00:32.871193559,Billing,Medium,Email,Tier 1,T1-Agent-12,Resolved,Resolved,1.66,0.43,1.89,0.43,48,False,4.92
TKT-05011,2025-02-15 08:13:34.830241512,Technical Issue,Medium,Web Form,Tier 2,T2-Agent-06,Resolved,Resolved,3.4,46.75,214.63,46.75,48,True,1.0
TKT-05012,2025-02-15 08:26:36.789289464,Product Question,Low,Phone,Tier 1,T1-Agent-05,Resolved,Resolved,1.05,4.66,9.69,4.66,72,False,4.43
TKT-05013,2025-02-15 08:39:38.748337416,Technical Issue,High,Email,Tier 2,T2-Agent-09,Resolved,Resolved,8.32,56.49,132.69,56.49,24,True,1.48
TKT-05014,2025-02-15 08:52:40.707385369,Integration/API,Medium,Phone,Tier 2,T2-Agent-02,Resolved,Resolved,2.73,55.72,125.28,55.72,48,True,2.07
TKT-05015,2025-02-15 09:05:42.666433321,Technical Issue,Low,Web Form,Tier 2,T2-Agent-10,Resolved,Resolved,3.86,13.77,66.11,13.77,72,False,3.47
TKT-05016,2025-02-15 09:18:44.625481274,Account & Access,Medium,Phone,Tier 1,T1-Agent-02,Resolved,Resolved,0.73,5.53,9.44,5.53,48,False,5.0
TKT-05017,2025-02-15 09:31:46.584529226,Billing,Medium,Chat,Tier 1,T1-Agent-01,Resolved,Resolved,5.76,1.82,15.16,1.82,48,False,4.72
TKT-05018,2025-02-15 09:44:48.543577178,Billing,Low,Web Form,Tier 1,T1-Agent-07,Resolved,Resolved,0.64,1.44,4.43,1.44,72,False,5.0
TKT-05019,2025-02-15 09:57:50.502625131,Product Question,Low,Chat,Tier 1,T1-Agent-07,Resolved,Resolved,6.41,2.61,8.49,2.61,72,False,4.77
TKT-05020,2025-02-15 10:10:52.461673083,Billing,High,Email,Tier 1,T1-Agent-09,Resolved,Resolved,2.22,11.62,35.05,11.62,24,True,2.74
TKT-05021,2025-02-15 10:23:54.420721036,Feature Request,High,Phone,Tier 2,T2-Agent-06,Resolved,Resolved,5.31,33.02,51.75,33.02,24,True,2.36
TKT-05022,2025-02-15 10:36:56.379768988,Bug Report,High,Phone,Tier 3,T3-Agent-02,Waiting for Agent,Open,5.4,19.44,113.35,35.53,24,True,1.93
TKT-05023,2025-02-15 10:49:58.338816940,Feature Request,High,Email,Tier 2,T2-Agent-04,Resolved,Resolved,9.17,5.3,149.86,5.3,24,True,1.36
TKT-05024,2025-02-15 11:03:00.297864893,Product Question,Medium,Chat,Tier 1,T1-Agent-06,Resolved,Resolved,2.86,5.44,13.41,5.44,48,False,3.56
TKT-05025,2025-02-15 11:16:02.256912845,Product Question,Medium,Phone,Tier 1,T1-Agent-15,Resolved,Resolved,3.5,4.52,9.48,4.52,48,False,4.71
TKT-05026,2025-02-15 11:29:04.215960798,Product Question,Medium,Chat,Tier 1,T1-Agent-15,Resolved,Resolved,1.1,0.36,11.3,0.36,48,False,4.88
TKT-05027,2025-02-15 11:42:06.175008750,Billing,High,Chat,Tier 1,T1-Agent-09,Resolved,Resolved,4.99,9.67,20.31,9.67,24,False,3.79
TKT-05028,2025-02-15 11:55:08.134056702,Account & Access,High,Email,Tier 1,T1-Agent-04,Resolved,Resolved,1.33,3.71,12.9,3.71,24,False,4.18
TKT-05029,2025-02-15 12:08:10.093104655,Product Question,Medium,Chat,Tier 1,T1-Agent-08,Resolved,Resolved,4.25,3.01,7.04,3.01,48,False,4.51
TKT-05030,2025-02-15 12:21:12.052152607,Technical Issue,Medium,Chat,Tier 2,T2-Agent-05,Resolved,Resolved,2.86,20.98,96.96,20.98,48,True,1.74
TKT-05031,2025-02-15 12:34:14.011200560,Technical Issue,High,Web Form,Tier 2,T2-Agent-01,Resolved,Resolved,3.75,26.17,35.22,26.17,24,True,2.92
TKT-05032,2025-02-15 12:47:15.970248512,Bug Report,Low,Chat,Tier 3,T3-Agent-03,Resolved,Resolved,2.82,23.46,83.34,23.46,72,True,2.48
TKT-05033,2025-02-15 13:00:17.929296464,Technical Issue,High,Chat,Tier 2,T2-Agent-04,In Progress,In Progress,9.03,63.56,112.39,77.03,24,True,1.96
TKT-05034,2025-02-15 13:13:19.888344417,Product Question,Medium,Email,Tier 1,T1-Agent-09,Resolved,Resolved,1.65,0.69,2.61,0.69,48,False,4.39
TKT-05035,2025-02-15 13:26:21.847392369,Product Question,Low,Web Form,Tier 1,T1-Agent-12,Resolved,Resolved,1.55,5.61,13.69,5.61,72,False,4.4
TKT-05036,2025-02-15 13:39:23.806440322,Technical Issue,High,Email,Tier 2,T2-Agent-09,Resolved,Resolved,8.87,29.71,60.23,29.71,24,True,3.31
TKT-05037,2025-02-15 13:52:25.765488274,Feature Request,Medium,Chat,Tier 2,T2-Agent-10,Resolved,Resolved,3.91,44.56,63.24,44.56,48,True,2.33
TKT-05038,2025-02-15 14:05:27.724536226,Technical Issue,High,Web Form,Tier 2,T2-Agent-10,Resolved,Resolved,16.14,133.64,196.45,133.64,24,True,1.33
TKT-05039,2025-02-15 14:18:29.683584179,Feature Request,Low,Web Form,Tier 2,T2-Agent-02,Resolved,Resolved,7.53,5.67,8.49,5.67,72,False,4.61
TKT-05040,2025-02-15 14:31:31.642632131,Bug Report,Low,Email,Tier 3,T3-Agent-03,Waiting for Agent,In Progress,5.25,14.96,48.0,24.16,72,False,3.51
TKT-05041,2025-02-15 14:44:33.601680084,Account & Access,Low,Web Form,Tier 1,T1-Agent-03,Resolved,Resolved,5.74,3.41,10.34,3.41,72,False,4.5
TKT-05042,2025-02-15 14:57:35.560728036,Technical Issue,Medium,Email,Tier 3,T3-Agent-03,Resolved,Resolved,13.81,49.77,94.09,49.77,48,True,2.71
TKT-05043,2025-02-15 15:10:37.519775988,Account & Access,Medium,Email,Tier 1,T1-Agent-12,Resolved,Resolved,2.99,9.74,27.2,9.74,48,False,4.39
TKT-05044,2025-02-15 15:23:39.478823941,Account & Access,Medium,Web Form,Tier 1,T1-Agent-09,Resolved,Resolved,2.34,6.52,10.79,6.52,48,False,4.86
TKT-05045,2025-02-15 15:36:41.437871893,Account & Access,Low,Email,Tier 1,T1-Agent-11,Resolved,Resolved,1.47,1.14,12.31,1.14,72,False,4.03
TKT-05046,2025-02-15 15:49:43.396919846,Security,Critical,Chat,Tier 3,T3-Agent-06,Resolved,Resolved,9.81,2.27,52.79,2.27,8,True,3.21
TKT-05047,2025-02-15 16:02:45.355967798,Technical Issue,Medium,Phone,Tier 2,T2-Agent-10,Waiting for Agent,In Progress,1.89,47.78,62.29,75.17,48,True,3.62
TKT-05048,2025-02-15 16:15:47.315015750,Bug Report,High,Email,Tier 3,T3-Agent-01,Resolved,Resolved,0.95,35.23,108.03,35.23,24,True,1.85
TKT-05049,2025-02-15 16:28:49.274063703,Technical Issue,High,Web Form,Tier 2,T2-Agent-04,Resolved,Resolved,16.09,24.65,105.18,24.65,24,True,2.7
TKT-05050,2025-02-15 16:41:51.233111655,Security,High,Chat,Tier 3,T3-Agent-06,Resolved,Resolved,7.62,19.8,92.89,19.8,24,True,3.92
TKT-05051,2025-02-15 16:54:53.192159608,Technical Issue,Medium,Chat,Tier 2,T2-Agent-05,Resolved,Resolved,3.23,21.87,51.41,21.87,48,True,3.29
TKT-05052,2025-02-15 17:07:55.151207560,Billing,Critical,Chat,Tier 1,T1-Agent-12,Resolved,Resolved,1.82,2.31,9.61,2.31,8,True,3.75
TKT-05053,2025-02-15 17:20:57.110255512,Product Question,Medium,Chat,Tier 1,T1-Agent-08,Resolved,Resolved,2.86,3.54,12.34,3.54,48,False,4.66
TKT-05054,2025-02-15 17:33:59.069303465,Technical Issue,Low,Web Form,Tier 2,T2-Agent-05,Resolved,Resolved,8.05,23.06,41.09,23.06,72,False,4.2
TKT-05055,2025-02-15 17:47:01.028351417,Bug Report,Low,Web Form,Tier 3,T3-Agent-02,Resolved,Resolved,5.13,24.5,61.68,24.5,72,False,4.08
TKT-05056,2025-02-15 18:00:02.987399370,Account & Access,High,Chat,Tier 1,T1-Agent-10,Resolved,Resolved,0.67,5.9,9.98,5.9,24,False,4.7
TKT-05057,2025-02-15 18:13:04.946447322,Product Question,Medium,Web Form,Tier 1,T1-Agent-01,Resolved,Resolved,3.29,2.57,3.47,2.57,48,False,4.95
TKT-05058,2025-02-15 18:26:06.905495274,Product Question,High,Chat,Tier 3,T3-Agent-06,Resolved,Resolved,1.4,21.43,38.46,21.43,24,True,2.44
TKT-05059,2025-02-15 18:39:08.864543227,Product Question,Low,Web Form,Tier 1,T1-Agent-12,Resolved,Resolved,2.13,0.76,4.51,0.76,72,False,4.55
TKT-05060,2025-02-15 18:52:10.823591179,Technical Issue,Medium,Email,Tier 2,T2-Agent-03,Resolved,Resolved,21.5,98.96,157.4,98.96,48,True,1.0
TKT-05061,2025-02-15 19:05:12.782639132,Technical Issue,High,Email,Tier 2,T2-Agent-07,Resolved,Resolved,44.33,21.46,108.3,21.46,24,True,3.03
TKT-05062,2025-02-15 19:18:14.741687084,Technical Issue,Critical,Email,Tier 2,T2-Agent-10,Resolved,Resolved,22.5,51.55,157.94,51.55,8,True,1.0
TKT-05063,2025-02-15 19:31:16.700735036,Account & Access,Low,Chat,Tier 1,T1-Agent-02,Resolved,Resolved,0.5,7.27,11.04,7.27,72,False,5.0
TKT-05064,2025-02-15 19:44:18.659782989,Technical Issue,Medium,Email,Tier 2,T2-Agent-02,Resolved,Resolved,11.04,19.9,31.78,19.9,48,False,4.33
TKT-05065,2025-02-15 19:57:20.618830941,Feature Request,Medium,Chat,Tier 2,T2-Agent-06,Resolved,Resolved,4.92,3.65,71.0,3.65,48,True,3.1
TKT-05066,2025-02-15 20:10:22.577878894,Product Question,Medium,Phone,Tier 1,T1-Agent-15,Resolved,Resolved,0.69,3.93,10.31,3.93,48,False,4.86
TKT-05067,2025-02-15 20:23:24.536926846,Product Question,Medium,Email,Tier 1,T1-Agent-02,Resolved,Resolved,3.38,2.0,6.24,2.0,48,False,4.33
TKT-05068,2025-02-15 20:36:26.495974798,Account & Access,Low,Chat,Tier 1,T1-Agent-01,Resolved,Resolved,2.45,2.37,5.93,2.37,72,False,4.15
TKT-05069,2025-02-15 20:49:28.455022751,Account & Access,High,Email,Tier 1,T1-Agent-07,Resolved,Resolved,0.28,3.28,12.98,3.28,24,False,3.78
TKT-05070,2025-02-15 21:02:30.414070703,Billing,Low,Chat,Tier 1,T1-Agent-11,Resolved,Resolved,1.04,2.57,12.55,2.57,72,False,3.66
TKT-05071,2025-02-15 21:15:32.373118655,Account & Access,Medium,Email,Tier 1,T1-Agent-10,Resolved,Resolved,4.33,0.97,5.26,0.97,48,False,4.52
TKT-05072,2025-02-15 21:28:34.332166608,Account & Access,Medium,Phone,Tier 3,T3-Agent-01,Waiting for Agent,Open,3.38,6.96,34.96,27.08,48,False,3.63
TKT-05073,2025-02-15 21:41:36.291214560,Billing,Low,Email,Tier 1,T1-Agent-07,Resolved,Resolved,1.49,1.36,4.61,1.36,72,False,4.47
TKT-05074,2025-02-15 21:54:38.250262513,Billing,Medium,Phone,Tier 1,T1-Agent-07,In Progress,In Progress,1.11,1.8,10.33,12.09,48,False,5.0
TKT-05075,2025-02-15 22:07:40.209310465,Security,High,Email,Tier 3,T3-Agent-03,Resolved,Resolved,0.74,21.53,35.48,21.53,24,True,3.41
TKT-05076,2025-02-15 22:20:42.168358417,Technical Issue,High,Web Form,Tier 2,T2-Agent-01,Resolved,Resolved,2.53,22.15,103.57,22.15,24,True,3.36
TKT-05077,2025-02-15 22:33:44.127406370,Billing,Medium,Email,Tier 1,T1-Agent-07,Resolved,Resolved,4.44,2.69,7.61,2.69,48,False,4.26
TKT-05078,2025-02-15 22:46:46.086454322,Technical Issue,Medium,Email,Tier 2,T2-Agent-01,Resolved,Resolved,2.08,26.93,65.47,26.93,48,True,2.85
TKT-05079,2025-02-15 22:59:48.045502275,Account & Access,High,Phone,Tier 1,T1-Agent-07,Resolved,Resolved,3.23,5.79,15.6,5.79,24,False,3.48
TKT-05080,2025-02-15 23:12:50.004550227,Integration/API,High,Email,Tier 2,T2-Agent-08,Resolved,Resolved,5.45,39.12,87.53,39.12,24,True,2.32
TKT-05081,2025-02-15 23:25:51.963598179,Technical Issue,Medium,Chat,Tier 3,T3-Agent-01,Resolved,Resolved,3.98,4.13,281.31,4.13,48,True,1.0
TKT-05082,2025-02-15 23:38:53.922646132,Product Question,Low,Web Form,Tier 1,T1-Agent-14,Resolved,Resolved,2.83,2.73,11.3,2.73,72,False,4.22
TKT-05083,2025-02-15 23:51:55.881694084,Billing,Medium,Chat,Tier 1,T1-Agent-09,Resolved,Resolved,4.77,5.06,11.74,5.06,48,False,5.0
TKT-05084,2025-02-16 00:04:57.840742037,Technical Issue,High,Email,Tier 2,T2-Agent-08,Resolved,Resolved,16.19,29.99,66.27,29.99,24,True,2.95
TKT-05085,2025-02-16 00:17:59.799789989,Feature Request,Medium,Phone,Tier 2,T2-Agent-05,Resolved,Resolved,9.48,31.18,89.94,31.18,48,True,2.03
TKT-05086,2025-02-16 00:31:01.758837941,Billing,High,Chat,Tier 1,T1-Agent-13,Resolved,Resolved,6.08,1.46,14.22,1.46,24,False,3.83
